date,symbol,open,high,low,close,volume
2025-01-31 00:00:00+00:00,AAPL,247.19,247.19,233.44,236.0,100959800.0
2025-01-30 00:00:00+00:00,AAPL,238.665,240.79,237.21,237.59,44801575.0
2025-01-29 00:00:00+00:00,AAPL,234.12,239.86,234.01,239.36,45375500.0
2025-01-28 00:00:00+00:00,AAPL,230.85,240.19,230.81,238.26,75633300.0
2025-01-27 00:00:00+00:00,AAPL,224.03,232.15,224.0,229.86,94132139.0
2025-01-24 00:00:00+00:00,AAPL,224.78,225.63,221.41,222.78,54619500.0
2025-01-23 00:00:00+00:00,AAPL,224.73,227.03,222.32,223.66,58538726.0
2025-01-22 00:00:00+00:00,AAPL,219.79,224.12,219.79,223.83,64028300.0
2025-01-21 00:00:00+00:00,AAPL,224.0,224.42,219.38,222.64,97333260.0
2025-01-17 00:00:00+00:00,AAPL,232.115,232.29,228.48,229.98,68488301.0
2025-01-16 00:00:00+00:00,AAPL,237.35,238.01,228.03,228.26,71604800.0
2025-01-15 00:00:00+00:00,AAPL,234.64,238.54,234.43,237.87,39573652.0
2025-01-14 00:00:00+00:00,AAPL,234.75,236.12,232.472,233.28,38863097.0
2025-01-13 00:00:00+00:00,AAPL,233.5,234.67,229.72,234.4,49056366.0
2025-01-10 00:00:00+00:00,AAPL,240.01,240.16,233.0,236.85,61679400.0
2025-01-08 00:00:00+00:00,AAPL,241.92,243.71,240.05,242.7,37564700.0
2025-01-07 00:00:00+00:00,AAPL,242.98,245.55,241.36,242.21,40082828.0
2025-01-06 00:00:00+00:00,AAPL,244.33,247.33,243.84,245.0,41695027.0
2025-01-03 00:00:00+00:00,AAPL,243.36,244.18,241.89,243.36,40202700.0
2025-01-02 00:00:00+00:00,AAPL,248.93,249.1,241.82,243.85,55558000.0
